Second,LDDITSN,Tabu,F2000,F40000,F100000
106,916104.2,918095,916668.7,916574.6,916793.8
107,916098.6,918095,916668.7,916563.6,916793.8
108,916098.6,918090.6,916668.7,916563.6,916780.8
109,916098.6,918089.5,916668.7,916563.6,916780.8
110,916098.6,918065.4,916668.7,916563.6,916780.8
111,916098.6,918044.8,916668.7,916550.5,916780.8
112,916098.6,918018.2,916652.5,916510.3,916758.6
113,916098.6,918017.8,916652.5,916469.9,916758.6
114,916098.6,918017.8,916652.5,916469.9,916758.6
115,916098.6,918017.8,916652.5,916469.9,916758.6
116,916098.6,918017.5,916652.5,916452.2,916758.6
117,916098.6,918013.2,916652.5,916395.4,916690
118,916098.6,918013.2,916652.5,916368.6,916689.3
119,916087.2,918008.3,916652.5,916363.3,916689.3
120,916087.2,918006.7,916652.5,916337.1,916689.3
121,916087.2,918006.7,916652.5,916323.5,916689.3
122,916087.2,917983.3,916652.5,916321.6,916678.5
123,916087.2,917983.3,916652.5,916321.6,916673.9
124,916087.2,917983.3,916652.5,916321.6,916673.9
125,916087.2,917983.3,916652.5,916321.6,916673.9
126,916087.2,917983.3,916652.5,916321.6,916673.9
127,916087.2,917983.3,916652.5,916321.6,916673.9
128,916087.2,917983.3,916652.5,916321.6,916673.9
129,916087.2,917983.3,916652.5,916321.6,916673.9
130,916037.9,917983.3,916652.5,916321.6,916673.9
131,916035.3,917980.2,916652.5,916321.6,916673.9
132,916004.8,917980.2,916652.5,916321.6,916673.9
133,915966.9,917980.2,916652.5,916321.6,916673.9
134,915956.7,917965.9,916652.5,916321.6,916673.9
135,915926.8,917965.7,916652.5,916321.6,916673.9
136,915926.8,917957.8,916652.5,916321.6,916657.7
137,915926.8,917957.6,916629.6,916321.6,916619.1
138,915926.8,917945.1,916629.6,916316.9,916616.4
139,915926.8,917938.1,916629.6,916313.4,916616.4
140,915926.8,917934.5,916629.6,916313.4,916616.4
141,915926.8,917934.5,916629.6,916313.4,916616.4
142,915926.8,917934.5,916629.6,916313.4,916592.5
143,915926.8,917934.5,916629.6,916313.4,916538.4
144,915926.8,917924.1,916629.6,916313.4,916538.4
145,915926.8,917924.1,916629.6,916313.4,916538.4
146,915926.8,917924.1,916629.6,916313.4,916538.4
147,915926.8,917924.1,916629.6,916313.4,916526.9
148,915926.8,917918.9,916629.6,916313.4,916526.9
149,915926.8,917918.9,916629.6,916313.4,916526.9
150,915926.8,917918.2,916629.6,916313.4,916470.2
151,915926.8,917918.2,916612.5,916313.4,916457.1
152,915926.8,917917.7,916612.5,916313.4,916457.1
153,915926.8,917914.2,916612.5,916313.4,916457.1
154,915926.8,917911.7,916612.5,916313.4,916457.1
155,915926.8,917884.6,916612.5,916296.2,916457.1
156,915926.8,917884.6,916612.5,916296.2,916457.1
157,915926.8,917879.4,916612.5,916296.2,916457.1
158,915926.8,917879.4,916612.5,916296.2,916457.1
159,915926.8,917879.4,916612.5,916283.3,916457.1
160,915926.8,917879.4,916612.5,916262.7,916457.1
161,915926.8,917879.4,916612.5,916243,916457.1
162,915926.8,917879.4,916612.5,916220.5,916457.1
163,915926.8,917876.3,916612.5,916220.5,916457.1
164,915926.8,917876.3,916612.5,916209.3,916457.1
165,915926.8,917875.2,916612.5,916184.8,916457.1
166,915926.8,917875.2,916612.5,916184.8,916457.1
167,915926.8,917875.2,916612.5,916184.8,916457.1
168,915926.8,917875.2,916612.5,916184.8,916444.1
169,915926.8,917875.2,916612.5,916184.8,916444.1
170,915926.8,917875.2,916612.5,916184.8,916413.8
171,915917,917875.2,916612.5,916126.4,916406.2
172,915903.3,917875.2,916612.5,916126.4,916406.2
173,915892.1,917875.2,916612.5,916126.4,916406.2
174,915865.7,917870.5,916612.5,916126.4,916406.2
175,915848.8,917870.5,916612.5,916126.4,916406.2
176,915832.1,917870.5,916612.5,916126.4,916406.2
177,915832.1,917870.5,916612.5,916126.4,916406.2
178,915832.1,917870.5,916612.5,916117.3,916406.2
179,915829.3,917870.5,916612.5,916117.3,916406.2
180,915818.9,917870.5,916612.5,916117.3,916406.2
181,915818.9,917870.5,916612.5,916117.3,916369.1
182,915818.9,917870,916612.5,916117.3,916369.1
183,915818.9,917870,916609.1,916117.3,916369.1
184,915818.9,917870,916609.1,916117.3,916369.1
185,915816.6,917869.7,916609.1,916117.3,916369.1
186,915816.6,917845.6,916609.1,916117.3,916369.1
187,915816.6,917834.7,916609.1,916117.3,916369.1
188,915816.6,917834.7,916609.1,916117.3,916369.1
189,915811.6,917834.7,916609.1,916117.3,916357.2
190,915810.8,917834.7,916609.1,916117.3,916353
191,915809.5,917834.7,916609.1,916117.3,916340.2
192,915809.5,917829.3,916609.1,916117.3,916340.2
193,915809.5,917829.3,916609.1,916117.3,916340.2
194,915809.5,917809.5,916609.1,916117.3,916340.2
195,915809.5,917809.5,916609.1,916117.3,916315.9
196,915809.5,917809.5,916609.1,916117.3,916284.9
197,915809.5,917809.5,916593.2,916117.3,916284.9
198,915809.5,917807.2,916593.2,916117.3,916282.9
199,915809.5,917807.2,916593.2,916117.3,916267.9
200,915809.5,917807.1,916593.2,916117.3,916267.9
